w(cm-1), IM(w)_xx, IM(w)_yy, IM(w)_zz, IM(w)_xy, IM(w)_xz, IM(w)_yz
13.0227441777, 9.73317571853e-07, 1.51662424103e-05, 1.78261580783e-05, 0.0, 0.0, 0.0
13.2512133738, 9.90725317027e-07, 1.54437898512e-05, 1.8156578338e-05, 0.0, 0.0, 0.0
13.4796825699, 1.00815072454e-06, 1.57219528815e-05, 1.84879506574e-05, 0.0, 0.0, 0.0
13.708151766, 1.02559412885e-06, 1.60007436172e-05, 1.8820294071e-05, 0.0, 0.0, 0.0
13.9366209621, 1.04305586602e-06, 1.62801742555e-05, 1.91536277561e-05, 0.0, 0.0, 0.0
14.1650901582, 1.06053627376e-06, 1.65602570769e-05, 1.94879710358e-05, 0.0, 0.0, 0.0
14.3935593543, 1.07803569144e-06, 1.68410044474e-05, 1.98233433826e-05, 0.0, 0.0, 0.0
14.6220285504, 1.09555446014e-06, 1.71224288195e-05, 2.01597644212e-05, 0.0, 0.0, 0.0
14.8504977465, 1.11309292269e-06, 1.74045427347e-05, 2.04972539319e-05, 0.0, 0.0, 0.0
15.0789669426, 1.13065142367e-06, 1.76873588253e-05, 2.08358318544e-05, 0.0, 0.0, 0.0
15.3074361387, 1.14823030949e-06, 1.79708898159e-05, 2.11755182904e-05, 0.0, 0.0, 0.0
15.5359053348, 1.16582992839e-06, 1.82551485259e-05, 2.15163335076e-05, 0.0, 0.0, 0.0
15.7643745309, 1.18345063052e-06, 1.85401478708e-05, 2.1858297943e-05, 0.0, 0.0, 0.0
15.992843727, 1.2010927679e-06, 1.88259008647e-05, 2.22014322066e-05, 0.0, 0.0, 0.0
16.2213129231, 1.21875669455e-06, 1.91124206223e-05, 2.25457570845e-05, 0.0, 0.0, 0.0
16.4497821192, 1.23644276644e-06, 1.93997203603e-05, 2.28912935433e-05, 0.0, 0.0, 0.0
16.6782513153, 1.25415134159e-06, 1.96878134002e-05, 2.32380627329e-05, 0.0, 0.0, 0.0
16.9067205114, 1.27188278008e-06, 1.997671317e-05, 2.35860859909e-05, 0.0, 0.0, 0.0
17.1351897075, 1.28963744409e-06, 2.02664332064e-05, 2.39353848462e-05, 0.0, 0.0, 0.0
17.3636589036, 1.30741569796e-06, 2.05569871569e-05, 2.42859810227e-05, 0.0, 0.0, 0.0
17.5921280997, 1.32521790818e-06, 2.0848388782e-05, 2.46378964434e-05, 0.0, 0.0, 0.0
17.8205972958, 1.34304444348e-06, 2.11406519574e-05, 2.49911532343e-05, 0.0, 0.0, 0.0
18.0490664919, 1.36089567484e-06, 2.14337906765e-05, 2.53457737284e-05, 0.0, 0.0, 0.0
18.277535688, 1.37877197556e-06, 2.1727819052e-05, 2.57017804698e-05, 0.0, 0.0, 0.0
18.5060048841, 1.39667372126e-06, 2.20227513188e-05, 2.6059196218e-05, 0.0, 0.0, 0.0
18.7344740802, 1.41460128995e-06, 2.23186018363e-05, 2.64180439517e-05, 0.0, 0.0, 0.0
18.9629432763, 1.43255506208e-06, 2.26153850905e-05, 2.67783468737e-05, 0.0, 0.0, 0.0
19.1914124724, 1.45053542053e-06, 2.29131156965e-05, 2.71401284147e-05, 0.0, 0.0, 0.0
19.4198816685, 1.46854275074e-06, 2.3211808401e-05, 2.7503412238e-05, 0.0, 0.0, 0.0
19.6483508646, 1.48657744066e-06, 2.3511478085e-05, 2.78682222442e-05, 0.0, 0.0, 0.0
19.8768200607, 1.50463988087e-06, 2.38121397658e-05, 2.82345825751e-05, 0.0, 0.0, 0.0
20.1052892568, 1.52273046458e-06, 2.41138085999e-05, 2.86025176191e-05, 0.0, 0.0, 0.0
20.3337584529, 1.54084958768e-06, 2.44164998858e-05, 2.89720520154e-05, 0.0, 0.0, 0.0
20.562227649, 1.5589976488e-06, 2.47202290661e-05, 2.93432106591e-05, 0.0, 0.0, 0.0
20.7906968451, 1.57717504935e-06, 2.50250117306e-05, 2.9716018706e-05, 0.0, 0.0, 0.0
21.0191660412, 1.59538219358e-06, 2.5330863619e-05, 3.00905015773e-05, 0.0, 0.0, 0.0
21.2476352373, 1.6136194886e-06, 2.56378006235e-05, 3.04666849651e-05, 0.0, 0.0, 0.0
21.4761044334, 1.63188734445e-06, 2.59458387917e-05, 3.08445948373e-05, 0.0, 0.0, 0.0
21.7045736295, 1.65018617412e-06, 2.62549943295e-05, 3.12242574428e-05, 0.0, 0.0, 0.0
21.9330428256, 1.66851639366e-06, 2.6565283604e-05, 3.16056993167e-05, 0.0, 0.0, 0.0
22.1615120217, 1.68687842216e-06, 2.68767231464e-05, 3.19889472862e-05, 0.0, 0.0, 0.0
22.3899812178, 1.70527268185e-06, 2.7189329655e-05, 3.23740284754e-05, 0.0, 0.0, 0.0
22.6184504139, 1.72369959813e-06, 2.75031199984e-05, 3.27609703113e-05, 0.0, 0.0, 0.0
22.84691961, 1.74215959962e-06, 2.78181112184e-05, 3.31498005297e-05, 0.0, 0.0, 0.0
23.0753888061, 1.76065311822e-06, 2.81343205335e-05, 3.35405471804e-05, 0.0, 0.0, 0.0
23.3038580022, 1.77918058918e-06, 2.84517653417e-05, 3.39332386336e-05, 0.0, 0.0, 0.0
23.5323271983, 1.79774245112e-06, 2.87704632239e-05, 3.43279035857e-05, 0.0, 0.0, 0.0
23.7607963944, 1.81633914611e-06, 2.90904319475e-05, 3.47245710656e-05, 0.0, 0.0, 0.0
23.9892655905, 1.83497111971e-06, 2.94116894695e-05, 3.51232704404e-05, 0.0, 0.0, 0.0
24.2177347866, 1.85363882106e-06, 2.973425394e-05, 3.55240314225e-05, 0.0, 0.0, 0.0
24.4462039827, 1.87234270289e-06, 3.00581437057e-05, 3.59268840755e-05, 0.0, 0.0, 0.0
24.6746731788, 1.89108322161e-06, 3.03833773136e-05, 3.63318588208e-05, 0.0, 0.0, 0.0
24.9031423749, 1.90986083736e-06, 3.07099735145e-05, 3.67389864447e-05, 0.0, 0.0, 0.0
25.131611571, 1.92867601409e-06, 3.10379512666e-05, 3.71482981048e-05, 0.0, 0.0, 0.0
25.3600807671, 1.94752921958e-06, 3.13673297396e-05, 3.75598253371e-05, 0.0, 0.0, 0.0
25.5885499632, 1.96642092553e-06, 3.16981283181e-05, 3.7973600063e-05, 0.0, 0.0, 0.0
25.8170191593, 1.98535160763e-06, 3.20303666059e-05, 3.83896545969e-05, 0.0, 0.0, 0.0
26.0454883554, 2.00432174561e-06, 3.23640644296e-05, 3.88080216528e-05, 0.0, 0.0, 0.0
26.2739575515, 2.02333182329e-06, 3.2699241843e-05, 3.92287343525e-05, 0.0, 0.0, 0.0
26.5024267476, 2.04238232869e-06, 3.30359191309e-05, 3.96518262329e-05, 0.0, 0.0, 0.0
26.7308959437, 2.06147375405e-06, 3.33741168134e-05, 4.00773312538e-05, 0.0, 0.0, 0.0
26.9593651398, 2.08060659593e-06, 3.37138556504e-05, 4.0505283806e-05, 0.0, 0.0, 0.0
27.1878343359, 2.09978135526e-06, 3.40551566455e-05, 4.09357187189e-05, 0.0, 0.0, 0.0
27.416303532, 2.11899853742e-06, 3.43980410507e-05, 4.13686712695e-05, 0.0, 0.0, 0.0
27.6447727281, 2.1382586523e-06, 3.47425303711e-05, 4.180417719e-05, 0.0, 0.0, 0.0
27.8732419242, 2.15756221441e-06, 3.5088646369e-05, 4.22422726771e-05, 0.0, 0.0, 0.0
28.1017111203, 2.17690974288e-06, 3.5436411069e-05, 4.26829944002e-05, 0.0, 0.0, 0.0
28.3301803164, 2.19630176161e-06, 3.57858467626e-05, 4.31263795105e-05, 0.0, 0.0, 0.0
28.5586495125, 2.21573879931e-06, 3.61369760132e-05, 4.35724656501e-05, 0.0, 0.0, 0.0
28.7871187086, 2.23522138956e-06, 3.64898216606e-05, 4.40212909613e-05, 0.0, 0.0, 0.0
29.0155879047, 2.25475007095e-06, 3.68444068269e-05, 4.4472894096e-05, 0.0, 0.0, 0.0
29.2440571008, 2.27432538707e-06, 3.72007549206e-05, 4.49273142252e-05, 0.0, 0.0, 0.0
29.4725262969, 2.29394788668e-06, 3.75588896429e-05, 4.53845910492e-05, 0.0, 0.0, 0.0
29.700995493, 2.31361812372e-06, 3.79188349922e-05, 4.58447648075e-05, 0.0, 0.0, 0.0
29.9294646891, 2.33333665744e-06, 3.82806152701e-05, 4.63078762886e-05, 0.0, 0.0, 0.0
30.1579338852, 2.35310405247e-06, 3.86442550866e-05, 4.67739668412e-05, 0.0, 0.0, 0.0
30.3864030813, 2.37292087891e-06, 3.9009779366e-05, 4.72430783844e-05, 0.0, 0.0, 0.0
30.6148722774, 2.39278771238e-06, 3.93772133526e-05, 4.77152534186e-05, 0.0, 0.0, 0.0
30.8433414735, 2.41270513418e-06, 3.97465826167e-05, 4.8190535037e-05, 0.0, 0.0, 0.0
31.0718106696, 2.43267373132e-06, 4.01179130605e-05, 4.86689669363e-05, 0.0, 0.0, 0.0
31.3002798657, 2.45269409665e-06, 4.04912309241e-05, 4.9150593429e-05, 0.0, 0.0, 0.0
31.5287490618, 2.47276682891e-06, 4.08665627923e-05, 4.96354594546e-05, 0.0, 0.0, 0.0
31.7572182579, 2.49289253286e-06, 4.12439356001e-05, 5.01236105922e-05, 0.0, 0.0, 0.0
31.985687454, 2.5130718194e-06, 4.16233766403e-05, 5.06150930725e-05, 0.0, 0.0, 0.0
32.2141566501, 2.53330530558e-06, 4.20049135691e-05, 5.11099537905e-05, 0.0, 0.0, 0.0
32.4426258462, 2.55359361481e-06, 4.23885744136e-05, 5.16082403183e-05, 0.0, 0.0, 0.0
32.6710950423, 2.57393737686e-06, 4.27743875785e-05, 5.21100009186e-05, 0.0, 0.0, 0.0
32.8995642384, 2.59433722805e-06, 4.31623818532e-05, 5.26152845574e-05, 0.0, 0.0, 0.0
33.1280334345, 2.61479381128e-06, 4.35525864187e-05, 5.31241409184e-05, 0.0, 0.0, 0.0
33.3565026306, 2.6353077762e-06, 4.39450308556e-05, 5.36366204169e-05, 0.0, 0.0, 0.0
33.5849718267, 2.65587977929e-06, 4.43397451509e-05, 5.41527742137e-05, 0.0, 0.0, 0.0
33.8134410228, 2.67651048394e-06, 4.47367597062e-05, 5.46726542302e-05, 0.0, 0.0, 0.0
34.0419102189, 2.69720056062e-06, 4.51361053455e-05, 5.51963131629e-05, 0.0, 0.0, 0.0
34.270379415, 2.71795068697e-06, 4.55378133227e-05, 5.57238044992e-05, 0.0, 0.0, 0.0
34.4988486111, 2.73876154789e-06, 4.59419153304e-05, 5.62551825325e-05, 0.0, 0.0, 0.0
34.7273178072, 2.75963383572e-06, 4.63484435079e-05, 5.67905023787e-05, 0.0, 0.0, 0.0
34.9557870033, 2.78056825028e-06, 4.67574304495e-05, 5.73298199919e-05, 0.0, 0.0, 0.0
35.1842561994, 2.80156549908e-06, 4.7168909214e-05, 5.78731921815e-05, 0.0, 0.0, 0.0
35.4127253955, 2.82262629735e-06, 4.75829133326e-05, 5.84206766292e-05, 0.0, 0.0, 0.0
35.6411945916, 2.84375136827e-06, 4.79994768187e-05, 5.89723319063e-05, 0.0, 0.0, 0.0
35.8696637877, 2.864941443e-06, 4.84186341767e-05, 5.95282174917e-05, 0.0, 0.0, 0.0
36.0981329838, 2.8861972609e-06, 4.88404204119e-05, 6.00883937898e-05, 0.0, 0.0, 0.0
36.3266021799, 2.90751956958e-06, 4.926487104e-05, 6.06529221496e-05, 0.0, 0.0, 0.0
36.555071376, 2.92890912512e-06, 4.96920220966e-05, 6.12218648835e-05, 0.0, 0.0, 0.0
36.7835405721, 2.95036669214e-06, 5.01219101482e-05, 6.17952852869e-05, 0.0, 0.0, 0.0
37.0120097682, 2.97189304398e-06, 5.05545723015e-05, 6.23732476578e-05, 0.0, 0.0, 0.0
37.2404789643, 2.99348896283e-06, 5.09900462149e-05, 6.29558173179e-05, 0.0, 0.0, 0.0
37.4689481604, 3.01515523988e-06, 5.14283701086e-05, 6.3543060633e-05, 0.0, 0.0, 0.0
37.6974173565, 3.03689267547e-06, 5.18695827759e-05, 6.41350450344e-05, 0.0, 0.0, 0.0
37.9258865526, 3.05870207923e-06, 5.23137235947e-05, 6.47318390409e-05, 0.0, 0.0, 0.0
38.1543557487, 3.08058427028e-06, 5.27608325385e-05, 6.53335122812e-05, 0.0, 0.0, 0.0
38.3828249448, 3.1025400773e-06, 5.32109501888e-05, 6.59401355166e-05, 0.0, 0.0, 0.0
38.6112941409, 3.1245703388e-06, 5.36641177468e-05, 6.65517806648e-05, 0.0, 0.0, 0.0
38.839763337, 3.14667590319e-06, 5.41203770456e-05, 6.71685208235e-05, 0.0, 0.0, 0.0
39.0682325331, 3.16885762901e-06, 5.45797705632e-05, 6.77904302954e-05, 0.0, 0.0, 0.0
39.2967017292, 3.19111638504e-06, 5.50423414354e-05, 6.84175846128e-05, 0.0, 0.0, 0.0
39.5251709253, 3.21345305056e-06, 5.55081334684e-05, 6.90500605642e-05, 0.0, 0.0, 0.0
39.7536401214, 3.23586851542e-06, 5.59771911531e-05, 6.96879362196e-05, 0.0, 0.0, 0.0
39.9821093175, 3.25836368032e-06, 5.64495596783e-05, 7.03312909587e-05, 0.0, 0.0, 0.0
40.2105785136, 3.28093945691e-06, 5.69252849451e-05, 7.09802054974e-05, 0.0, 0.0, 0.0
40.4390477097, 3.30359676804e-06, 5.74044135816e-05, 7.16347619171e-05, 0.0, 0.0, 0.0
40.6675169058, 3.32633654793e-06, 5.7886992957e-05, 7.22950436933e-05, 0.0, 0.0, 0.0
40.8959861019, 3.34915974232e-06, 5.83730711975e-05, 7.29611357252e-05, 0.0, 0.0, 0.0
41.124455298, 3.37206730875e-06, 5.88626972013e-05, 7.36331243665e-05, 0.0, 0.0, 0.0
41.3529244941, 3.3950602167e-06, 5.93559206549e-05, 7.43110974565e-05, 0.0, 0.0, 0.0
41.5813936902, 3.4181394478e-06, 5.98527920487e-05, 7.49951443521e-05, 0.0, 0.0, 0.0
41.8098628863, 3.44130599608e-06, 6.03533626944e-05, 7.56853559606e-05, 0.0, 0.0, 0.0
42.0383320824, 3.46456086815e-06, 6.08576847415e-05, 7.63818247731e-05, 0.0, 0.0, 0.0
42.2668012785, 3.48790508339e-06, 6.13658111948e-05, 7.70846448993e-05, 0.0, 0.0, 0.0
42.4952704746, 3.51133967427e-06, 6.18777959324e-05, 7.77939121028e-05, 0.0, 0.0, 0.0
42.7237396707, 3.53486568645e-06, 6.23936937239e-05, 7.85097238369e-05, 0.0, 0.0, 0.0
42.9522088668, 3.55848417912e-06, 6.29135602493e-05, 7.92321792821e-05, 0.0, 0.0, 0.0
43.1806780629, 3.58219622516e-06, 6.34374521178e-05, 7.99613793841e-05, 0.0, 0.0, 0.0
43.409147259, 3.60600291143e-06, 6.39654268879e-05, 8.06974268927e-05, 0.0, 0.0, 0.0
43.6376164551, 3.62990533899e-06, 6.4497543087e-05, 8.14404264021e-05, 0.0, 0.0, 0.0
43.8660856512, 3.65390462336e-06, 6.50338602327e-05, 8.21904843917e-05, 0.0, 0.0, 0.0
44.0945548473, 3.67800189475e-06, 6.55744388534e-05, 8.29477092681e-05, 0.0, 0.0, 0.0
44.3230240434, 3.70219829836e-06, 6.611934051e-05, 8.3712211409e-05, 0.0, 0.0, 0.0
44.5514932395, 3.72649499464e-06, 6.66686278184e-05, 8.44841032067e-05, 0.0, 0.0, 0.0
44.7799624356, 3.75089315951e-06, 6.72223644719e-05, 8.5263499114e-05, 0.0, 0.0, 0.0
45.0084316317, 3.77539398471e-06, 6.7780615265e-05, 8.6050515691e-05, 0.0, 0.0, 0.0
45.2369008278, 3.79999867802e-06, 6.83434461165e-05, 8.68452716528e-05, 0.0, 0.0, 0.0
45.4653700239, 3.8247084636e-06, 6.89109240951e-05, 8.76478879187e-05, 0.0, 0.0, 0.0
45.69383922, 3.84952458225e-06, 6.94831174433e-05, 8.84584876627e-05, 0.0, 0.0, 0.0
45.9223084161, 3.87444829169e-06, 7.00600956043e-05, 8.92771963655e-05, 0.0, 0.0, 0.0
46.1507776122, 3.89948086695e-06, 7.06419292476e-05, 9.01041418674e-05, 0.0, 0.0, 0.0
46.3792468083, 3.92462360058e-06, 7.12286902966e-05, 9.09394544231e-05, 0.0, 0.0, 0.0
